index	id hotel	hotel	city	locatii	locatia aleasa
3851	OT-PROP-B-759739	Cavo Delea Elegant Suites Chalkidiki	Halkidiki	"Afitos
Aghios Nikolaos Paliouriou
Agia Paraskevi
Boulamatsia
Chalkidiki
Elani
Evdos
Fourka
Fourka
Frama
Fylakes Karakallou
Fylakes Kassandras
Fylakes Ksenofontos
Hanioti
Kalandra
Kalithea
Kallithea
Kaloutsikos
Kassandra
Kassandra
Kassandra Palace
Kassandria
Kassandrino
Khaniotis
Kriopigi
Lefkes
Lefki Peristera
Loutra
Moles Kalyves
Nea Fokia
Nea Potidea
Nea Potidhaia
Nea Skioni
Paliouri
Panorama
Pefkohori
Pirgos Sani
Polichrono
Possidi
Sani
Siviri
Solina
Xina"	Chalkidiki
3646	OT-PROP-B-607721	Aliter Suites Santorini	Fira, Santorini	"Agia Irini
Agia Paraskevi
Agios Georgios
Agrilia
Akrotiri
Cyclades
Emporio
Episkopi
Exo Gialos
Exo Gonia
Exomytis
Finikia
Firostefani
Firá
Imerovigli
Kamari
Karterados
Manolas
Megalochori
Mesaria
Monolithos
Oia
Ormos Korfou
Perissa
Perivolos
Potamos
Pyrgos
Santorini Airport
Santorini Island
Tholos
Vlychada
Vothonas
Vourvoulos"	Firá
2561	OT-PROP-A-618864	5 Senses	Zagori	"Agia Marina
Agia Paraskevi
Agia Varvara Dematiou
Agioi Apostoloi
Agios Georgios Dematiou
Agios Minas
Ampelos
Ano Lapsista
Ano Pedina
Ano Vitsa
Anthrakitis
Aristi
Asfaka
Asprangeloi
Demati
Dikorfo
Dilakko
Dilofo
Dipotamo
Doliani
Elafotopos
Elati
Elatochori
Eleousa
Flampourari
Fragkades
Gavrisioi
Greveniti
Iliochori
Ioannina - Zagorochoria
Itea
Kaloutas
Kalyvia Elafotopou
Kapesovo
Karyes
Kastanonas
Kato Lapsista
Kato Pedina
Kato Vitsa
Kavallari
Kipoi
Koukouli
Kranoula
Krya
Lagou
Laista
Leptokarya
Liapi
Lykostomo
Makrino
Manassis
Matsa
Mega Gardiki
Mesovouni
Metamorfosi
Mikro Gardiki
Mikro Papigkon
Miliotades
Monodendri
Negades
Neochori
Papigkon
Perivleptos
Petra
Petsali
Plaka Dematiou
Potamia
Protopappas
Skamnelli
Tristeno
Tsepelovo
Vikos
Vitsa
Voutansaioi
Vovousa
Vradeto
Vrysochori"	
1253	OT-PROP-A-2267	Afroditi Apartments	Lasithi, Crete	"Achlia
Agia Fotia Ierapetras
Agiasmenos
Agios Georgios Ierapetras
Agios Ioannis
Agios Panteleimon Makry Gialou
Agios Stefanos
Ammoudares
Analipsi
Anatoli
Andrianos
Ano Simi
Aspros Potamos
Azali
Bemponas
Chrisi
Chrisopigi
Christos
Crete Island
Dafni
Drakalevri
Epano Perivolakia
Episkopi
Ferma
Galini
Gavrilis
Gdochia
Gra Ligia
Iera Moni Faneromenis
Ierapetra
Kaimenos
Kalamafka
Kallithea
Kalo Nero
Kalogeri
Kalyvitis
Kamara
Kampos
Karidi
Kato Chorio
Kavousi
Kefala
Kentri
Kopanes
Koutsounari
Koutsouras
Ksirokamara
Lagkada
Lakoudia
Lapithos
Lassithi Region - Crete
Lithines
Makri Gialos
Makrilia
Males
Mathokotsana
Mavros Kolympos
Melisses
Meseleri
Metaxochori
Minos
Mirtos
Monastiraki
Moni Kapsa
Mournies
Mythi
Nea Anatoli
Nea Myrtos
Oreino
Ornias
Pachia Ammos
Panagia
Pano Chorio
Perivolakia
Pevki
Pezoulas
Pilalimata
Potami
Psari
Psathi
Riza
Schinokapsala
Selakano
Sfakoura
Stavrochori
Stavros
Stomio
Sykia
Thrypti
Tsamantis
Tsikkalaria
Vainia
Vasiliki
Vatos
Xirokampos"	
3452	OT-PROP-B-4763911	Utopia Hotel Koufonisia	Koufonisia	"Cyclades
Finikas
Kato Koufonisi Island
Koufonisi Island"	
3845	OT-PROP-B-747890	Toti Boutique Rooms	Kalampaka	"Achelinada
Achladia
Agia Kyriaki
Agia Paraskevi
Agia Paraskevi
Agia Triada
Agiofyllo
Agioi Theodoroi
Agios Dimitrios
Agnantia
Agrelia
Aidona
Amarantos
Ammoudia
Ampelia
Ampelochori
Anthousa
Apostoloi
Ardani
Asprokklisia
Avra
Basia
Chaidemeni
Chaliki
Chrysavgi
Chrysomilia
Dendrochori
Dialekto
Diava
Dilofo
Dipotamos
Doliana
Elafi
Ellinokastro
Exalofos
Flamouli
Flampouresi
Fotada
Foteino
Gavros
Genesi
Gerakari
Glinos
Glykomilia
Gorgogyri
Kakoplevri
Kalambaka
Kalliroi
Kallithea
Kalochori
Kalogriani
Kalomoira
Kaloneri
Karyes
Kastania
Kastraki
Katafyto
Katalyma
Kato Elati
Kefalovryso
Kerasoula
Kipaki
Kleino
Koniskos
Kori
Koromilia
Korydallos
Koumaria
Krania
Krinitsa
Krya Vrysi
Lagkadia
Leptokarya
Lili
Liopraso
Longa
Longaki
Longos
Malakasi
Matoneri
Matsoukiotika
Mavreli
Mavrochorion
Mega Kefalovryso
Megala Kalyvia
Megali Kerasia
Megalochori
Megarchis
Meligos
Mesiaka
Mikro Flamouli
Milia
Milotopos
Mourgkani
Nea Zoi
Orthovouni
Ouranos
Oxyneia
Palaiochori
Palaiopyrgos
Panagia
Pandocheia
Patoulia
Pefki
Perdikorrachi
Peristera
Platanistos
Platanos
Polythea
Prinos
Prodromos
Psiloma
Pyrgetos
Pyrgos
Raxa
Rizario
Rizoma
Rogkia
Sarakina
Skepari
Sotira
Spathades
Stagiades
Stefani
Theopetra
Theotokos
Trifyllia
Trikala
Trikala - Meteora - Kalambaka
Trikala Region
Trygona
Valtino
Vasiliki
Vitoumas
Vlachava
Xyloparoiko
Zilefti"	
122	OT-PROP-A-113074	Koutouloufari Village Holiday Club	Limenas Hersonissos	"Agia Pelagia
Agios Ioannis Theologos
Agkisaras
Agno
Agriana
Aitania
Analipsi
Anissaras
Ano Karouzana
Anopolis
Aposelemis
Aski
Avdhou
Chatzana
Chersonissos - Crete
Crete Island
Drapanos
Elia
Episkopi
Galifa
Galipe
Goniai
Gournes
Gouves
Haraso
Heraklion Region - Crete
Kainouryion Khorion
Kalivomouris
Kalochori
Karteros
Kato Gouves
Kato Karouzana
Kato Vathia
Kera
Khokhlakiai
Kokkini Hani
Koxari
Krasi
Kutulufari
Lagos
Malia
Mokhos
Pano Vathia
Pelekita
Pigi
Piskopiano
Potamiai
Sfendili
Sgourokefali
Skopela
Skoteinon
Smari
Stalida
Stamni
Stavromenos
Vathianos Kambos
Voros
Vrachokipos"	
153	OT-PROP-A-113640	Faros Suites	Fiscardo, Kefalonia	"Agia Effimia
Agia Efimia
Agia Eirini
Agia Pelagia
Agia Thekli
Agios Nikolaos
Agkonas
Agrilias
Ammes
Ampelaki
Andriolata
Anninata
Ano Valtes
Anomeria
Antipata
Antipata
Arginia
Argostolion
Asos
Asprogerakas
Atheras
Atsoupades
Bekatorata
Benetata
Chalikeri
Chaliotata
Chavdata
Chavriata
Chelmata
Chionata
Damoulianata
Davgata
Defaranata
Delaportata
Dematora
Dhemoutsandata
Digaleto
Dilinata
Divarata
Dorizata
Drakata
Drakopoulata
Drapanitika
Epanochori
Evreti
Fanies
Faraklata
Farsa
Favatata
Ferentinata
Fiskardo
Fokata
Fournioti
Fragkata
Frapata
Germenata
Grizata
Ionian Islands
Kalata
Kaligata
Kaminarata
Kampitsata
Kapandriti
Karavadhos
Karavomylos
Kardakata
Karousa
Karya
Kastro
Kateleios
Kato Kateleios
Katochori
Katopodata
Katsarata
Kefalonia Island
Kerameies
Khalikeri
Kharaktion
Kleismata
Kokolata
Kokolata
Kolaitis
Kombothekrata
Komitata
Konidarata
Kontogenada
Kontogourata
Koriana
Kornelos
Kothreas
Koulourata
Kounopetra
Kourouklata
Koutroukois
Kouvalata
Kremmydi
Lakithra
Lassi
Lassi
Latavinata
Lavonikes
Lekatsata
Lepedha
Livadi
Livathinata
Lixouri
Logarata
Loukata
Loukerata
Lourdas
Lourdata
Makriotika
Manganos
Mantoukata
Mantzavinata
Markantonata
Markata
Marketata
Markopoulo
Markouliata
Matsoukata
Mavrata
Megas Lakos
Menegata
Mesovounia
Metaxata
Michalitsata
Michata
Minetata
Minia
Mitakata
Monastiraki
Monopolata
Mousata
Mouzakata
Myrtos Beach
Neochori
Neochori
Nyfi
Parisata
Pastra
Patrikata
Peratata
Pesada
Petrikata
Plagia
Poros
Poros, Kefalonia
Poulata
Psilithrias
Raftopoulata
Ratzakli
Razata
Rifi
Riza
Salamata
Sami
Sarlata
Simotata
Skala
Skala Kefalonia
Skineas
Sofata
Soullaroi
Spartia
Spathi
Svoronata
Tarkasata
Thiramonas
Tipaldata
Touliata
Trapezaki
Travliata
Troianata
Tsarkasianos
Tselentata
Tzamarellata
Tzanata
Tzanetata
Valerianos
Valianata
Valsamata
Vary
Vasilikiades
Ventourata
Vigli
Vilatoria
Vlachata
Vlachata
Vlychata
Vouni
Vovykes
Xenopoulo
Xi
Zampelata
Zervata
Zola"	
197	OT-PROP-A-1164	Athina Luxury Suites	Fira	"Agia Irini
Agia Paraskevi
Agios Georgios
Agrilia
Akrotiri
Cyclades
Emporio
Episkopi
Exo Gialos
Exo Gonia
Exomytis
Finikia
Firostefani
Firá
Imerovigli
Kamari
Karterados
Manolas
Megalochori
Mesaria
Monolithos
Oia
Ormos Korfou
Perissa
Perivolos
Potamos
Pyrgos
Santorini Airport
Santorini Island
Tholos
Vlychada
Vothonas
Vourvoulos"	
3683	OT-PROP-B-638	Iro Hotel Hersonissos	Hersonissos Crete	"Achladaki
Adravastos
Adrianos
Agaliano
Agia Paraskevi
Agia Paraskevi
Agia Pelagia
Agia Pelagia
Agia Semni
Agia Varvara
Agios Antonios
Agios Georgios Skinia
Agios Ioannis Limnon
Agios Ioannis Theologos
Agios Konstantinos
Agios Nikolaos - Crete
Agkisaras
Agno
Agoroi
Agriana
Aitania
Alevrika
Amariano
Amigdalea
Ammoudara Lassithi
Amourgelles
Amygdaloi
Amygdalolakkos
Analipsi
Anissaras
Ano Amygdaloi
Ano Karouzana
Ano Kastelliana
Ano Poulies
Anogia
Anopolis
Aposelemis
Apostoli
Archangelos
Archontiko
Aretiou Monastery
Argyro Nero
Arkalochori
Armacha
Aski
Atzimpraga
Avdeliakos
Avdhou
Avli
Badia
Chalasou
Chamilo
Chandrou
Chatzana
Chavgas
Chersonissos - Crete
Chondrovolaki
Choumeri
Choumeriakos
Crete Island
Demati
Diavaide
Dilakkos
Dio Prini
Dories
Drakos
Drapanos
Drapeti
Drasi
Elia
Ellinika
Elounda - Crete
Epano Garipa
Epano Loumas
Epano Pines
Epano Sisi
Episkopi
Evangelismos
Exo Lakkonia
Exo Potami
Favriana
Filippi
Finokalia
Fioretzides
Flamouriana
Forti
Fourni
Fratias
Galatas
Galeniano
Galifa
Galipe
Garipa
Gasi
Geraki
Giofyri
Goniai
Gournes
Gouves
Haraso
Heraklion Region - Crete
Inion
Istro
Kainouryion Khorion
Kakokamotes
Kalivomouris
Kalo Chorio
Kalo Chorio
Kalochori
Kalos Lakkos
Kalydon
Kalyvos
Karavados
Kardhoulianos
Karterides
Karteros
Kartsinianos
Karydi
Kasanos
Kastamonitsa
Kastelli
Kastelli
Katharon
Kato Garipa
Kato Gouves
Kato Karouzana
Kato Kastelliana
Kato Loumas
Kato Pines
Kato Poulies
Kato Selles
Kato Vathia
Katsikia
Kera
Keratidia
Kheroukoumadho
Khokhlakiai
Kokkini Hani
Kopraki
Koudoumalos
Kounali
Kourounes
Koxari
Krasi
Kritsa
Kroustas
Kutulufari
Lagos
Lagouta
Lassithi Region - Crete
Latsida
Lefkochori
Lilianon
Limnes
Lyttos
Lyttos
Machaira
Makrygennisa
Malia
Mardati
Margieli
Marnellides
Mathia
Mavrikiano
Mesa Potami
Mikri Episkopi
Milatos
Milatos Beach
Milliarisi
Mironikitas
Mokhos
Monastiraki
Mousouta
Neapoli
Nikitianos
Nipiditos
Nispitas
Nispitos
Nofalias
Panagia
Pano Vathia
Panoramo
Partira
Patsideros
Patsopoulos
Pelekita
Peponides
Perampela
Peronides
Perthianos
Petros
Pigi
Pirgos Kalou Choriou
Piskopiano
Pissidos
Plaka
Platypodi
Polithea
Poroi
Potamiai
Prina
Pyrgos Vrachasiou
Romanos
Rousa Limni
Rousochoria
Roussakiana
Roussapidia
Sambas
Schisma Eloundas
Schisma Mesa Lakkonion
Selinari
Selles
Sfendili
Sgourokefali
Sissi
Skinias
Skinias
Sklaverochori
Skopela
Skoteinon
Smari
Souvlos
Stalida
Stamni
Stavromenos
Stironas
Syrmeso
Tapes
Theologos
Thrapsano
Tichos
Tourloti
Tsampi
Tsoutsouros
Tzingouna
Upper Elounda - Crete
Vakiotes
Valtos
Vathianos Kambos
Vathy
Vitsilia
Vlachides
Vlichadia
Voni
Voros
Voulismeni
Vrachasi
Vrachokipos
Vrises
Vrouchas
Vrysidia
Xira Xila
Xirokambos
Xirolimni
Yiannitsi
Zenia
Zinta
Zofori
Zourva"	
